"SMILES","Salt Data","InChI","InChI Key","Molecular Weight","Compound ID","Plate Well Position","Plate ID"
"CS(C)=O",,"InChI=1S/C2H6OS/c1-4(2)3/h1-2H3","IAZDPXIOMUYVGZ-UHFFFAOYSA-N",78.13600000000001,"DMSO","A1","10001"
"CS(C)=O",,"InChI=1S/C2H6OS/c1-4(2)3/h1-2H3","IAZDPXIOMUYVGZ-UHFFFAOYSA-N",78.13600000000001,"DMSO","A2","10001"
"Cc1cccc(C(=O)N2CCC(Oc3ccncc3)CC2)c1",,"InChI=1S/C18H20N2O2/c1-14-3-2-4-15(13-14)18(21)20-11-7-17(8-12-20)22-16-5-9-19-10-6-16/h2-6,9-10,13,17H,7-8,11-12H2,1H3","MMSXDZOYTWCQNU-UHFFFAOYSA-N",296.37,"F6479-2397","A3","10001"
"Cc1c(Br)cncc1C#N",,"InChI=1S/C7H5BrN2/c1-5-6(2-9)3-10-4-7(5)8/h3-4H,1H3","HVTPZRXPJRFYHD-UHFFFAOYSA-N",197.035,"F1957-0028","A4","10001"
"Cl.O=C1CC(CNC2CC2)CN1","HCl","InChI=1S/C8H14N2O.ClH/c11-8-3-6(5-10-8)4-9-7-1-2-7;/h6-7,9H,1-5H2,(H,10,11);1H","QPLALMUWHZRXPB-UHFFFAOYSA-N",190.67399999999998,"F1905-0438","A5","10001"
"O=C(NCc1cccnc1-c1ccncc1)c1cnccn1",,"InChI=1S/C16H13N5O/c22-16(14-11-18-8-9-19-14)21-10-13-2-1-5-20-15(13)12-3-6-17-7-4-12/h1-9,11H,10H2,(H,21,22)","QYURIAQZNCJAMF-UHFFFAOYSA-N",291.314,"F6482-5248","A6","10001"
"CCC(=O)N1CCC(C(C)(F)F)CC1",,"InChI=1S/C10H17F2NO/c1-3-9(14)13-6-4-8(5-7-13)10(2,11)12/h8H,3-7H2,1-2H3","USMVKSBTCKKWDP-UHFFFAOYSA-N",205.24799999999996,"F6545-0772","A7","10001"
"COc1ccccc1C1(C(=O)O)CCOCC1",,"InChI=1S/C13H16O4/c1-16-11-5-3-2-4-10(11)13(12(14)15)6-8-17-9-7-13/h2-5H,6-9H2,1H3,(H,14,15)","KHVYTMKXKQRQFG-UHFFFAOYSA-N",236.26699999999997,"F2189-0458","A8","10001"
"CN1CCC(CO)CC1",,"InChI=1S/C7H15NO/c1-8-4-2-7(6-9)3-5-8/h7,9H,2-6H2,1H3","KJZLJGZZDNGGCA-UHFFFAOYSA-N",129.20299999999997,"F2167-0014","A9","10001"
"COc1cccc(C(=O)N2CCN=C2SC)c1",,"InChI=1S/C12H14N2O2S/c1-16-10-5-3-4-9(8-10)11(15)14-7-6-13-12(14)17-2/h3-5,8H,6-7H2,1-2H3","KNHHMCGWOGEBNO-UHFFFAOYSA-N",250.32299999999995,"F0630-0016","A10","10001"
